khía cạnh,số review nhắc khía cạnh (3 split),5 cụm 2 từ hay gặp nhất
stayingpower,2769,"bền màu (971), độ bền (932), kết cấu (818), công dụng (786), giao hàng (487)"
texture,4873,"chất son (1713), bền màu (861), kết cấu (849), độ bền (842), giao hàng (811)"
smell,2902,"mùi thơm (634), giao hàng (555), chất son (518), màu đẹp (430), có mùi (414)"
price,3266,"giao hàng (650), chất lượng (569), với giá (538), nên mua (511), chất son (446)"
colour,7498,"màu đẹp (1616), giao hàng (1486), màu son (1212), lên màu (1194), chất son (1102)"
shipping,5417,"giao hàng (3341), hàng nhanh (1666), đóng gói (1420), hơi lâu (1003), sản phẩm (946)"
packing,2988,"đóng gói (2284), giao hàng (1235), cẩn thận (1222), sản phẩm (860), hàng nhanh (754)"
