run,status,started,seconds,model,method,exp_id,split,prompt,prompt_sha,examples_sha,n_samples,subset,decoding,quant,max_length,max_new_tokens,dataset,version_id,config_sha256,repo_sha,mode,read_percent,tokens_per_second,accuracy_micro,f1_macro,exact_match_percent,out_dir
prompt-absa_cot_v1__val__n4__greedy__Qwen3-4B-Instruct-2507,FINISHED,2026-09-24 20:51:05,42.0,qwen3-4b-instruct-2507,-,-,val,absa_cot_v1,3abf6934,c513f5a6,4,limit=4 seed=42,greedy,auto,1280,400,cosmetics,cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-bf68b1c5,5a76f4282bf5,ad5e58432998,NEW,100.0,19.7,89.29,0.667,50.0,data/reports/model_eval/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-bf68b1c5/prompt-absa_cot_v1__val__n4__greedy__Qwen3-4B-Instruct-2507
qwen3-4b-instruct-2507/prompt-cot/exp001,FINISHED,2026-09-25 08:43:50,26.7,qwen3-4b-instruct-2507,prompt-cot,exp001,val,absa_cot_v1,3abf6934,c513f5a6,4,limit=4 seed=42,greedy,auto,1280,400,cosmetics,cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484,9a7126ac4295,6247e73136ab,NEW,100.0,30.9,89.29,0.667,50.0,experiments/qwen3-4b-instruct-2507/prompt-cot/exp001/results/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/prompt-absa_cot_v1__val__n4__greedy__Qwen3-4B-Instruct-2507
qwen3-4b-instruct-2507/prompt-cot/exp001,FINISHED,2026-09-25 10:29:29,1343.1,qwen3-4b-instruct-2507,prompt-cot,exp001,val,absa_cot_v1,3abf6934,c513f5a6,200,limit=200 seed=42,greedy,auto,1280,400,cosmetics,cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484,9a7126ac4295,75cbdb6bc194,NEW,100.0,32.6,93.46,0.717,64.0,experiments/qwen3-4b-instruct-2507/prompt-cot/exp001/results/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/prompt-absa_cot_v1__val__n200__greedy__Qwen3-4B-Instruct-2507
