model,split,tokenizer,segmenter,vocab,max_length,số review,token/review TB,p50,p95,p99,max,% review > max_length,% token <unk>,subword / từ
phobert,train,PhobertTokenizer,vncorenlp,64000,256,12302,29.96,25,62,87,301,0.02,3.88,1.38
phobert,val,PhobertTokenizer,vncorenlp,64000,256,1524,29.21,25,56,83,192,0.0,3.67,1.39
phobert,test,PhobertTokenizer,vncorenlp,64000,256,1518,30.63,25,67,86,169,0.0,3.33,1.39
visobert,train,XLMRobertaTokenizer,none,15002,256,12302,43.45,36,89,125,229,0.0,0.11,2.02
visobert,val,XLMRobertaTokenizer,none,15002,256,1524,42.74,36,80,125,175,0.0,0.07,2.03
visobert,test,XLMRobertaTokenizer,none,15002,256,1518,44.01,36,97,124,159,0.0,0.11,2.02
qwen,train,Qwen2Tokenizer,none,151643,2304,12302,1864.5,1859,1903,1933,2109,0.0,-,86.73
qwen,val,Qwen2Tokenizer,none,151643,2304,1524,1863.61,1859,1897,1931,2016,0.0,-,88.62
qwen,test,Qwen2Tokenizer,none,151643,2304,1518,1865.17,1859,1908,1929,1959,0.0,-,85.47
